"Time","node","type","Value"
1700784000000,ip-172-16-16-23.ap-northeast-2.compute.internal,CPU,0.6334037007783223
1700870400000,ip-172-16-16-23.ap-northeast-2.compute.internal,CPU,1.5885921588454182
1700956800000,ip-172-16-16-23.ap-northeast-2.compute.internal,CPU,2.5481715281466437
1701043200000,ip-172-16-16-23.ap-northeast-2.compute.internal,CPU,3.503223597722897
1701129600000,ip-172-16-16-23.ap-northeast-2.compute.internal,CPU,4.459380713595755
1701216000000,ip-172-16-16-23.ap-northeast-2.compute.internal,CPU,5.408813649805451
1701302400000,ip-172-16-16-23.ap-northeast-2.compute.internal,CPU,6.337466055159919
1700784000000,ip-172-16-16-23.ap-northeast-2.compute.internal,RAM,0.4146005478652859
1700870400000,ip-172-16-16-23.ap-northeast-2.compute.internal,RAM,1.0434374309189824
1700956800000,ip-172-16-16-23.ap-northeast-2.compute.internal,RAM,1.675909160464073
1701043200000,ip-172-16-16-23.ap-northeast-2.compute.internal,RAM,2.304798833264703
1701129600000,ip-172-16-16-23.ap-northeast-2.compute.internal,RAM,2.936491679353204
1701216000000,ip-172-16-16-23.ap-northeast-2.compute.internal,RAM,3.564275083654592
1701302400000,ip-172-16-16-23.ap-northeast-2.compute.internal,RAM,4.189939883718922
1700784000000,ip-172-16-18-41.ap-northeast-2.compute.internal,CPU,2.0427918337695665
1700870400000,ip-172-16-18-41.ap-northeast-2.compute.internal,CPU,5.007109713383073
1700956800000,ip-172-16-18-41.ap-northeast-2.compute.internal,CPU,7.914434867412414
1701043200000,ip-172-16-18-41.ap-northeast-2.compute.internal,CPU,10.798652887704836
1701129600000,ip-172-16-18-41.ap-northeast-2.compute.internal,CPU,13.73884730955939
1701216000000,ip-172-16-18-41.ap-northeast-2.compute.internal,CPU,17.053030050393726
1701302400000,ip-172-16-18-41.ap-northeast-2.compute.internal,CPU,20.712564422386592
1700784000000,ip-172-16-18-41.ap-northeast-2.compute.internal,RAM,0.9852809443583015
1700870400000,ip-172-16-18-41.ap-northeast-2.compute.internal,RAM,2.4878022498227823
1700956800000,ip-172-16-18-41.ap-northeast-2.compute.internal,RAM,3.97310563691562
1701043200000,ip-172-16-18-41.ap-northeast-2.compute.internal,RAM,5.464735127600324
1701129600000,ip-172-16-18-41.ap-northeast-2.compute.internal,RAM,6.952015132413674
1701216000000,ip-172-16-18-41.ap-northeast-2.compute.internal,RAM,8.333574497498956
1701302400000,ip-172-16-18-41.ap-northeast-2.compute.internal,RAM,9.7263219002273
1700784000000,ip-172-16-40-247.ap-northeast-2.compute.internal,CPU,0.023541008278396076
1700870400000,ip-172-16-40-247.ap-northeast-2.compute.internal,CPU,0.07904163618683749
1700956800000,ip-172-16-40-247.ap-northeast-2.compute.internal,CPU,0.14311944279883976
1701043200000,ip-172-16-40-247.ap-northeast-2.compute.internal,CPU,0.2075322487220786
1701129600000,ip-172-16-40-247.ap-northeast-2.compute.internal,CPU,0.2725863777101494
1701216000000,ip-172-16-40-247.ap-northeast-2.compute.internal,CPU,0.33698873468419155
1701302400000,ip-172-16-40-247.ap-northeast-2.compute.internal,CPU,0.3984031080607514
1700784000000,ip-172-16-40-247.ap-northeast-2.compute.internal,RAM,0.018542070596581122
1700870400000,ip-172-16-40-247.ap-northeast-2.compute.internal,RAM,0.05342137797756283
1700956800000,ip-172-16-40-247.ap-northeast-2.compute.internal,RAM,0.09000073892757497
1701043200000,ip-172-16-40-247.ap-northeast-2.compute.internal,RAM,0.12684081222848936
1701129600000,ip-172-16-40-247.ap-northeast-2.compute.internal,RAM,0.16411609625825765
1701216000000,ip-172-16-40-247.ap-northeast-2.compute.internal,RAM,0.20081420760271107
1701302400000,ip-172-16-40-247.ap-northeast-2.compute.internal,RAM,0.23266405872411483
1700784000000,ip-172-16-42-76.ap-northeast-2.compute.internal,CPU,0.00033161221374045807
1700870400000,ip-172-16-42-76.ap-northeast-2.compute.internal,CPU,0.00033161221374045807
1700956800000,ip-172-16-42-76.ap-northeast-2.compute.internal,CPU,0.00033161221374045807
1701043200000,ip-172-16-42-76.ap-northeast-2.compute.internal,CPU,0.00033161221374045807
1701129600000,ip-172-16-42-76.ap-northeast-2.compute.internal,CPU,0.00033161221374045807
1701216000000,ip-172-16-42-76.ap-northeast-2.compute.internal,CPU,0.00033161221374045807
1701302400000,ip-172-16-42-76.ap-northeast-2.compute.internal,CPU,0.00033161221374045807
1700784000000,ip-172-16-42-76.ap-northeast-2.compute.internal,RAM,0.0001846334468383577
1700870400000,ip-172-16-42-76.ap-northeast-2.compute.internal,RAM,0.00018463344683835773
1700956800000,ip-172-16-42-76.ap-northeast-2.compute.internal,RAM,0.0001846334468383577
1701043200000,ip-172-16-42-76.ap-northeast-2.compute.internal,RAM,0.0001846334468383577
1701129600000,ip-172-16-42-76.ap-northeast-2.compute.internal,RAM,0.00018463344683835768
1701216000000,ip-172-16-42-76.ap-northeast-2.compute.internal,RAM,0.0001846334468383577
1701302400000,ip-172-16-42-76.ap-northeast-2.compute.internal,RAM,0.00018463344683835768
1700784000000,ip-172-16-43-218.ap-northeast-2.compute.internal,CPU,0.010628981311706828
1700870400000,ip-172-16-43-218.ap-northeast-2.compute.internal,CPU,0.028706132683831438
