"Time","cluster","namespace","node","pod","type","Value"
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-45-197.ap-northeast-2.compute.internal,plugin-slack-noti-protocol-lrllincjfwsqxcbz-fcfb787f8-nprfh,RAM,0.0009483353500366212
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,plugin-7b87495685-sv77m,RAM,0.0009482466797828674
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-prometheus-mon-webhook-gdnnfdcxwsjinlfbb-677fd48d54jf9bt,RAM,0.0009448550834655762
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-keycloak-identity-auth-aobbckcqinfdjiv-5dcfcc5b66-vnw8w,RAM,0.0009437886805534363
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-bfhdw,RAM,0.0009398897128105163
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-45-197.ap-northeast-2.compute.internal,plugin-9881b9b440a4-orzzivckqsqsznhrj-65cdd678d-dm78z,RAM,0.0009384132304191589
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-z7qk4,RAM,0.0009367961373329164
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-45-197.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-pswrj,RAM,0.0009365052194595337
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-h679k,RAM,0.0009358640365600585
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-bfhr8,RAM,0.000929413561820984
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-mzc-sms-noti-protocol-wjddfvcnixsrfnk-575856b5-wf6sn,RAM,0.000928394449710846
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-blsnr,RAM,0.0009280761013031006
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-45-197.ap-northeast-2.compute.internal,plugin-aws-sns-mon-webhook-nkllsqtqxsoukdhxb-5f95c98c6f-hbrb4,RAM,0.000920400131225586
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-45-197.ap-northeast-2.compute.internal,plugin-email-noti-protocol-wjddfntobsgumxiob-84c4b87d6-s5n7x,RAM,0.000912579601764679
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-45-197.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-ksrn9,RAM,0.0009092186369895936
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-45-197.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-mrggikixahdsavcmm-76bd56bf85-4xxk6,RAM,0.0009026372480392454
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-45-197.ap-northeast-2.compute.internal,prometheus-prometheus-node-exporter-n8ccb,CPU,0.000892220642428148
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-40-247.ap-northeast-2.compute.internal,aws-node-t75xm,RAM,0.0008396645216941834
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,console-api-6b6fbcf5c7-554vn,RAM,0.0008303777670860291
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,secret-66f54749d9-jffr7,RAM,0.0008197983427047729
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-43-218.ap-northeast-2.compute.internal,prometheus-prometheus-node-exporter-47cf8,CPU,0.0006883682831209719
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-40-247.ap-northeast-2.compute.internal,prometheus-prometheus-node-exporter-mmnkm,CPU,0.0006876958015145429
1701356399000,cloudone-dev-v1-eks-cluster,px-operator,ip-172-16-40-247.ap-northeast-2.compute.internal,vizier-operator-55ffdd4987-6fwx7,RAM,0.0006075440220832825
1701356399000,cloudone-dev-v1-eks-cluster,newrelic,ip-172-16-40-247.ap-northeast-2.compute.internal,newrelic-bundle-nri-kube-events-6d7cc6755c-7s8mr,RAM,0.0005976291456222533
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-40-247.ap-northeast-2.compute.internal,kube-proxy-5r9tq,RAM,0.0005956221370697021
1701356399000,cloudone-dev-v1-eks-cluster,dev-portal,ip-172-16-43-218.ap-northeast-2.compute.internal,service-portal-59bb76c698-84ds8,RAM,0.0005926156196594238
1701356399000,cloudone-dev-v1-eks-cluster,dev-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,identity-767548c75-cjhw5,RAM,0.0005677002363204956
1701356399000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-43-96.ap-northeast-2.compute.internal,castai-evictor-696ffc855-45k28,CPU,0.0005481174256499454
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-45-197.ap-northeast-2.compute.internal,kube-proxy-hqv4t,RAM,0.0004986964840888977
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-43-96.ap-northeast-2.compute.internal,kube-proxy-d6zjh,RAM,0.00048532620143890376
1701356399000,cloudone-dev-v1-eks-cluster,dev-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,identity-5dd49b647c-jff5v,RAM,0.00044898494911193844
1701356399000,cloudone-dev-v1-eks-cluster,kube-system,ip-172-16-43-218.ap-northeast-2.compute.internal,kube-proxy-xzf98,RAM,0.0004360079932212829
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,identity-7467974484-bwtk2,CPU,0.00042821902107306097
1701356399000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-43-96.ap-northeast-2.compute.internal,castai-evictor-696ffc855-45k28,RAM,0.00042516024494171145
1701356399000,cloudone-dev-v1-eks-cluster,dev-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,inventory-worker-6ddcfb4959-v2r2g,RAM,0.0003986430025100708
1701356399000,cloudone-dev-v1-eks-cluster,dev-spaceone,ip-172-16-40-247.ap-northeast-2.compute.internal,redis-replica-node-1,RAM,0.00038688539695739746
1701356399000,cloudone-dev-v1-eks-cluster,sp1-agent,ip-172-16-45-197.ap-northeast-2.compute.internal,sp1-agent-opencost-7dd58cd576-7d4r8,CPU,0.000376772434302543
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,inventory-6ffd566b88-4fshp,CPU,0.00037298169160533603
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,dashboard-6fd6655747-zvhjs,CPU,0.00036951036670278563
1701356399000,cloudone-dev-v1-eks-cluster,dev-portal,ip-172-16-43-218.ap-northeast-2.compute.internal,service-portal-59bb76c698-84ds8,CPU,0.0003566288414785319
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,cost-analysis-844b945885-v2lvh,CPU,0.00035552287827857307
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,statistics-bcf65967d-vzgkn,CPU,0.0003516116190407078
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,repository-654989f888-xwh2m,CPU,0.00034757540839086586
1701356399000,cloudone-dev-v1-eks-cluster,dev-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,inventory-scheduler-8d764fc78-4rxc5,RAM,0.00034423133659362793
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,console-api-v2-rest-579c5bd554-wf74t,RAM,0.0003429566578865051
1701356399000,cloudone-dev-v1-eks-cluster,dev-portal,ip-172-16-40-247.ap-northeast-2.compute.internal,service-portal-api-rest-58dcd7c8bd-b9dkc,CPU,0.0003376635830423529
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-4vdmj,CPU,0.0003257022485356812
1701356399000,cloudone-dev-v1-eks-cluster,sp1-agent,ip-172-16-45-197.ap-northeast-2.compute.internal,sp1-agent-opencost-7dd58cd576-7d4r8,RAM,0.00031033971977233887
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,monitoring-rest-b57fb5846-7jwjk,CPU,0.00030476346095242434
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-40-247.ap-northeast-2.compute.internal,prometheus-prometheus-node-exporter-mmnkm,RAM,0.00028226033878326414
1701356399000,cloudone-dev-v1-eks-cluster,dev2-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,console-api-v2-rest-5c75dff5f7-gv5s6,CPU,0.00027989126901508315
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-45-197.ap-northeast-2.compute.internal,prometheus-prometheus-node-exporter-n8ccb,RAM,0.00027404645919799805
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-43-96.ap-northeast-2.compute.internal,prometheus-prometheus-node-exporter-zvlkb,RAM,0.00026954264116287225
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-40-247.ap-northeast-2.compute.internal,loki-gateway-655ddfb6b-pbxzw,CPU,0.0002552870961933957
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-jenkins-inven-collector-qrlligieixudhlw-5fd86c6dd6-4vv64,CPU,0.0002509691104294681
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-43-218.ap-northeast-2.compute.internal,prometheus-prometheus-node-exporter-47cf8,RAM,0.0002481082487106323
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-aws-shd-inven-collector-nkllskiqixcbxirg-5b57964464kf7bk,CPU,0.00024750996806471317
1701356399000,cloudone-dev-v1-eks-cluster,dev-spaceone,ip-172-16-40-247.ap-northeast-2.compute.internal,inventory-worker-57d8945bfd-cwjvf,RAM,0.0002471640915870667
1701356399000,cloudone-dev-v1-eks-cluster,prometheus,ip-172-16-40-247.ap-northeast-2.compute.internal,loki-gateway-655ddfb6b-pbxzw,RAM,0.0002344912314414978
