"Time","node","Value"
1700784000000,ip-172-16-16-23.ap-northeast-2.compute.internal,1.0480042486436085
1700870400000,ip-172-16-16-23.ap-northeast-2.compute.internal,2.6320295897644006
1700956800000,ip-172-16-16-23.ap-northeast-2.compute.internal,4.224080688610717
1701043200000,ip-172-16-16-23.ap-northeast-2.compute.internal,5.808022430987599
1701129600000,ip-172-16-16-23.ap-northeast-2.compute.internal,7.39587239294896
1701216000000,ip-172-16-16-23.ap-northeast-2.compute.internal,8.973088733460038
1701302400000,ip-172-16-16-23.ap-northeast-2.compute.internal,10.527405938878836
1700784000000,ip-172-16-18-41.ap-northeast-2.compute.internal,3.028072778127868
1700870400000,ip-172-16-18-41.ap-northeast-2.compute.internal,7.494911963205857
1700956800000,ip-172-16-18-41.ap-northeast-2.compute.internal,11.88754050432804
1701043200000,ip-172-16-18-41.ap-northeast-2.compute.internal,16.26338801530516
1701129600000,ip-172-16-18-41.ap-northeast-2.compute.internal,20.690862441973056
1701216000000,ip-172-16-18-41.ap-northeast-2.compute.internal,25.38660454789267
1701302400000,ip-172-16-18-41.ap-northeast-2.compute.internal,30.43888632261387
1700784000000,ip-172-16-40-247.ap-northeast-2.compute.internal,0.042083078874977184
1700870400000,ip-172-16-40-247.ap-northeast-2.compute.internal,0.13246301416440032
1700956800000,ip-172-16-40-247.ap-northeast-2.compute.internal,0.23312018172641474
1701043200000,ip-172-16-40-247.ap-northeast-2.compute.internal,0.33437306095056807
1701129600000,ip-172-16-40-247.ap-northeast-2.compute.internal,0.4367024739684069
1701216000000,ip-172-16-40-247.ap-northeast-2.compute.internal,0.5378029422869026
1701302400000,ip-172-16-40-247.ap-northeast-2.compute.internal,0.6310671667848661
1700784000000,ip-172-16-42-76.ap-northeast-2.compute.internal,0.0005162456605788157
1700870400000,ip-172-16-42-76.ap-northeast-2.compute.internal,0.000516245660578816
1700956800000,ip-172-16-42-76.ap-northeast-2.compute.internal,0.0005162456605788156
1701043200000,ip-172-16-42-76.ap-northeast-2.compute.internal,0.0005162456605788156
1701129600000,ip-172-16-42-76.ap-northeast-2.compute.internal,0.0005162456605788156
1701216000000,ip-172-16-42-76.ap-northeast-2.compute.internal,0.0005162456605788156
1701302400000,ip-172-16-42-76.ap-northeast-2.compute.internal,0.0005162456605788157
1700784000000,ip-172-16-43-218.ap-northeast-2.compute.internal,0.020388225226385802
1700870400000,ip-172-16-43-218.ap-northeast-2.compute.internal,0.05502753044475182
1700956800000,ip-172-16-43-218.ap-northeast-2.compute.internal,0.0893864143188417
1701043200000,ip-172-16-43-218.ap-northeast-2.compute.internal,0.12383605488797539
1701129600000,ip-172-16-43-218.ap-northeast-2.compute.internal,0.1588143004488159
1701216000000,ip-172-16-43-218.ap-northeast-2.compute.internal,0.19621123278402922
1701302400000,ip-172-16-43-218.ap-northeast-2.compute.internal,0.2350547457899356
1700784000000,ip-172-16-43-96.ap-northeast-2.compute.internal,0.05623742384619794
1700870400000,ip-172-16-43-96.ap-northeast-2.compute.internal,0.1851254905897322
1700956800000,ip-172-16-43-96.ap-northeast-2.compute.internal,0.31197043302509136
1701043200000,ip-172-16-43-96.ap-northeast-2.compute.internal,0.42751752526670517
1701129600000,ip-172-16-43-96.ap-northeast-2.compute.internal,0.5528426478841543
1701216000000,ip-172-16-43-96.ap-northeast-2.compute.internal,0.6795406630565617
1701302400000,ip-172-16-43-96.ap-northeast-2.compute.internal,0.8108966767471981
1700784000000,ip-172-16-45-197.ap-northeast-2.compute.internal,0.03885393867351948
1700870400000,ip-172-16-45-197.ap-northeast-2.compute.internal,0.09117920708648147
1700956800000,ip-172-16-45-197.ap-northeast-2.compute.internal,0.14149407492060329
1701043200000,ip-172-16-45-197.ap-northeast-2.compute.internal,0.19207028120089023
1701129600000,ip-172-16-45-197.ap-northeast-2.compute.internal,0.24354940064530187
1701216000000,ip-172-16-45-197.ap-northeast-2.compute.internal,0.29337439511897867
1701302400000,ip-172-16-45-197.ap-northeast-2.compute.internal,0.34401248604225276
1700784000000,ip-172-16-45-71.ap-northeast-2.compute.internal,0.0005368801636836879
1700870400000,ip-172-16-45-71.ap-northeast-2.compute.internal,0.000536880163683688
1700956800000,ip-172-16-45-71.ap-northeast-2.compute.internal,0.0005368801636836881
1701043200000,ip-172-16-45-71.ap-northeast-2.compute.internal,0.000536880163683688
1701129600000,ip-172-16-45-71.ap-northeast-2.compute.internal,0.000536880163683688
1701216000000,ip-172-16-45-71.ap-northeast-2.compute.internal,0.000536880163683688
1701302400000,ip-172-16-45-71.ap-northeast-2.compute.internal,0.000536880163683688
1700784000000,,0.2725208859327142
1700870400000,,0.6813022148317854
1700956800000,,1.0900835437308567
1701043200000,,1.498864872629928
1701129600000,,1.9076462015289994
1701216000000,,2.316427530428071
1701302400000,,2.7252088593271417

