"Time","pod","type","Value"
1701356399000,spin-clouddriver-575bdcd67d-64b9j,CPU,4.151801051390775
1701356399000,velero-867765df78-rr78f,CPU,2.960635
1701356399000,spin-clouddriver-76f7f84d9-9sg6p,CPU,2.9483676575877134
1701356399000,prometheus-prometheus-kube-prometheus-prometheus-0,CPU,2.4879171584115705
1701356399000,vizier-pem-m2l2q,RAM,1.591103666666667
1701356399000,vizier-pem-mf9vk,RAM,1.5873013333333332
1701356399000,newrelic-bundle-newrelic-logging-2rv69,CPU,1.4839037916666666
1701356399000,keycloak-postgresql-0,CPU,1.4839037916666666
1701356399000,newrelic-bundle-newrelic-logging-sq8c6,CPU,1.4803175
1701356399000,prometheus-prometheus-kube-prometheus-prometheus-0,RAM,1.3324760035680134
1701356399000,newrelic-bundle-nrk8s-kubelet-dqgdf,CPU,1.1871230333333334
1701356399000,alertmanager-prometheus-kube-prometheus-alertmanager-0,CPU,1.1864942676128187
1701356399000,newrelic-bundle-nrk8s-ksm-588758b9d8-j5vz5,CPU,1.1842540000000001
1701356399000,newrelic-bundle-nrk8s-kubelet-blnhb,CPU,1.1842540000000001
1701356399000,spin-clouddriver-575bdcd67d-64b9j,RAM,0.872531806063334
1701356399000,vizier-cloud-connector-bdcbfb79b-r7c8z,RAM,0.7955518333333335
1701356399000,pl-nats-0,RAM,0.7936506666666666
1701356399000,vizier-query-broker-7c66d5bfdd-fr9b9,RAM,0.7936506666666666
1701356399000,vizier-metadata-0,RAM,0.7936506666666666
1701356399000,coredns-67778f6c76-jbdcz,CPU,0.593842160433829
1701356399000,kube-proxy-xl2p8,CPU,0.5935615166666667
1701356399000,coredns-67778f6c76-gm88r,CPU,0.5921270000000001
1701356399000,newrelic-bundle-nri-metadata-injection-6c886895bc-mxb6s,CPU,0.5921270000000001
1701356399000,kube-proxy-s62fj,CPU,0.5921270000000001
1701356399000,cluster-autoscaler-5c6d5f9887-7xb8b,CPU,0.5921270000000001
1701356399000,prometheus-prometheus-kube-prometheus-prometheus-0,PV,0.473515977
1701356399000,supervisor-scheduler-667bf5678d-vxcbb,CPU,0.4402813251287545
1701356399000,spin-orca-dfdc66cf7-cz8n2,RAM,0.40234590052843094
1701356399000,cluster-autoscaler-5c6d5f9887-7xb8b,RAM,0.3875247395833333
1701356399000,spin-clouddriver-76f7f84d9-9sg6p,RAM,0.3646677561289469
1701356399000,keycloak-0,RAM,0.3625997417831421
1701356399000,ebs-csi-controller-66b79658fd-7prkx,CPU,0.3561369099999999
1701356399000,ebs-csi-controller-66b79658fd-j98nw,CPU,0.3552762
1701356399000,vizier-metadata-0,PV,0.34547726027397263
1701356399000,vizier-query-broker-7c66d5bfdd-fr9b9,CPU,0.3337770383249486
1701356399000,spin-front50-564ccc86ff-5fj7k,RAM,0.3085183544540405
1701356399000,spin-gate-66c5fd9d8d-27hd4,RAM,0.2984694468221665
1701356399000,consul-79695765d7-rq8mx,PV,0.26990410958904115
1701356399000,spin-rosco-746d4cdd88-5m592,RAM,0.26453672043863935
1701356399000,castai-cluster-controller-b8579544c-v8d6q,CPU,0.24812817499999998
1701356399000,castai-cluster-controller-b8579544c-bqgsk,CPU,0.24752849999999998
1701356399000,newrelic-bundle-nrk8s-kubelet-dqgdf,RAM,0.22227461449801925
1701356399000,newrelic-bundle-nrk8s-ksm-588758b9d8-j5vz5,RAM,0.22174343466758725
1701356399000,newrelic-bundle-nrk8s-kubelet-blnhb,RAM,0.22174343466758725
1701356399000,loki-read-0,PV,0.21592328767123292
1701356399000,loki-read-1,PV,0.21592328767123292
1701356399000,loki-write-2,PV,0.21592328767123292
1701356399000,loki-read-2,PV,0.21592328767123292
1701356399000,loki-write-0,PV,0.21592328767123292
1701356399000,loki-write-1,PV,0.21592328767123292
1701356399000,keycloak-postgresql-0,PV,0.21592328767123292
1701356399000,spin-echo-b9b896cf9-xj6x7,RAM,0.21417338214111326
1701356399000,spin-igor-94997965c-27jd6,RAM,0.21301571197764077
1701356399000,keycloak-postgresql-0,RAM,0.19888795833333336
1701356399000,vizier-pem-mf9vk,CPU,0.19412871729565098
1701356399000,alertmanager-prometheus-kube-prometheus-alertmanager-0,RAM,0.1937623697916667
1701356399000,ebs-csi-controller-66b79658fd-7prkx,RAM,0.18645746093750004
1701356399000,ebs-csi-controller-66b79658fd-j98nw,RAM,0.18601187500000002
1701356399000,loki-write-0,RAM,0.18362460721127197
1701356399000,ebs-csi-node-f7r6f,CPU,0.178068455
1701356399000,ebs-csi-node-lq5j4,CPU,0.17763809999999997
1701356399000,tempo-0,RAM,0.17575792385355632
1701356399000,redis-replica-node-0,PV,0.17273863013698632
1701356399000,redis-replica-node-1,PV,0.17273863013698632
1701356399000,inventory-worker-6dd4bd58c7-wccfs,CPU,0.16284733333333332
1701356399000,spin-redis-c576bb8cd-k6dcj,CPU,0.15299085192656814
1701356399000,aws-node-tf7lf,CPU,0.14839037916666667
1701356399000,aws-node-q9mx8,CPU,0.14804044070506775
1701356399000,loki-write-1,RAM,0.13236913092803954
1701356399000,spin-orca-dfdc66cf7-cz8n2,CPU,0.12241750138070212
1701356399000,loki-write-0,CPU,0.09930191890006493
1701356399000,velero-867765df78-rr78f,RAM,0.09920633333333333
1701356399000,ebs-csi-node-f7r6f,RAM,0.09322873046875002
1701356399000,ebs-csi-node-lq5j4,RAM,0.09300593750000001
1701356399000,loki-write-1,CPU,0.08957156267171354
1701356399000,promtail-b556x,CPU,0.08844510753131157
1701356399000,promtail-8qdb8,CPU,0.08660470821489057
1701356399000,loki-read-2,RAM,0.08514047457329432
1701356399000,redis-replica-node-0,CPU,0.08366151250733017
1701356399000,vizier-pem-m2l2q,CPU,0.07594475886402534
1701356399000,aws-subnet-available-ip-collector-6dbc4cc88b-fcbh9,CPU,0.07361334406732786
1701356399000,promtail-b556x,RAM,0.07116508792765935
1701356399000,loki-read-1,RAM,0.06925959022776286
1701356399000,docs-64cc74bdc-k92mz,RAM,0.06563953982543944
1701356399000,castai-cluster-controller-b8579544c-v8d6q,RAM,0.064954443359375
1701356399000,castai-cluster-controller-b8579544c-bqgsk,RAM,0.06479921875
1701356399000,spin-redis-c576bb8cd-k6dcj,RAM,0.06023241781361898
1701356399000,prometheus-kube-prometheus-operator-7d978d49f4-pqbmj,RAM,0.05966606163326899
1701356399000,coredns-67778f6c76-jbdcz,RAM,0.05438342610677084
1701356399000,coredns-67778f6c76-gm88r,RAM,0.05425346354166667
1701356399000,promtail-8qdb8,RAM,0.05347526244608561
1701356399000,vizier-pem-4579l,RAM,0.050813000000000004
1701356399000,vizier-pem-vthsk,RAM,0.050813000000000004
1701356399000,vizier-pem-hxfd7,RAM,0.050813000000000004
1701356399000,castai-agent-6f6ffbf8dc-dwcc8,RAM,0.0504485625
1701356399000,vizier-pem-9nz7s,RAM,0.05032299999999999
1701356399000,newrelic-bundle-newrelic-logging-2rv69,RAM,0.04972198958333334
1701356399000,newrelic-bundle-newrelic-logging-sq8c6,RAM,0.04960316666666666
1701356399000,otel-collector-opentelemetry-collector-b5867f68f-mf92d,CPU,0.04849288533333333
1701356399000,newrelic-bundle-newrelic-logging-lvchw,CPU,0.04739954166666668
1701356399000,newrelic-bundle-newrelic-logging-ck5kw,CPU,0.04739954166666668
1701356399000,newrelic-bundle-newrelic-logging-4dnnw,CPU,0.04735633333333333
